threshold,precision_unsafe,recall_unsafe,f1_unsafe,accuracy
0.395,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.4,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.405,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.41000000000000003,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.41500000000000004,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.42,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.425,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.43,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.435,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.44,0.9833333333333333,1.0,0.9915966386554622,0.9915730337078652
0.445,0.9833333333333333,1.0,0.9915966386554622,0.9915730337078652
0.45,0.9833333333333333,1.0,0.9915966386554622,0.9915730337078652
